1	0	60
1	0	240
1	300	60
1	300	240
2	0	60
2	0	240
2	300	60
2	300	240
3	0	60
3	0	240
3	300	60
3	300	240
4	0	60
4	0	240
4	300	60
4	300	240
5	0	60
5	0	240
5	300	60
5	300	240
6	0	60
6	0	240
6	300	60
6	300	240
7	0	60
7	0	240
7	300	60
7	300	240
8	0	60
8	0	240
8	300	60
8	300	240
9	0	60
9	0	240
9	300	60
9	300	240
10	0	60
10	0	240
10	300	60
10	300	240
11	0	60
11	0	240
11	300	60
11	300	240
12	0	60
12	0	240
12	300	60
12	300	240
13	0	60
13	0	240
13	300	60
13	300	240
14	0	60
14	0	240
14	300	60
14	300	240
15	0	60
15	0	240
15	300	60
15	300	240
16	0	60
16	0	240
16	300	60
16	300	240
17	0	60
17	0	240
17	300	60
17	300	240
18	0	60
18	0	240
18	300	60
18	300	240
19	0	60
19	0	240
19	300	60
19	300	240
20	0	60
20	0	240
20	300	60
20	300	240
21	0	60
21	0	240
21	300	60
21	300	240
22	0	60
22	0	240
22	300	60
22	300	240
23	0	60
23	0	240
23	300	60
23	300	240
24	0	60
24	0	240
24	300	60
24	300	240
25	0	60
25	0	240
25	300	60
25	300	240
26	0	60
26	0	240
26	300	60
26	300	240
27	0	60
27	0	240
27	300	60
27	300	240
28	0	60
28	0	240
28	300	60
28	300	240
29	0	60
29	0	240
29	300	60
29	300	240
30	0	60
30	0	240
30	300	60
30	300	240
31	0	60
31	0	240
31	300	60
31	300	240
32	0	60
32	0	240
32	300	60
32	300	240
33	0	60
33	0	240
33	300	60
33	300	240
34	0	60
34	0	240
34	300	60
34	300	240
35	0	60
35	0	240
35	300	60
35	300	240
36	0	60
36	0	240
36	300	60
36	300	240
37	0	60
37	0	240
37	300	60
37	300	240
38	0	60
38	0	240
38	300	60
38	300	240
39	0	60
39	0	240
39	300	60
39	300	240
40	0	60
40	0	240
40	300	60
40	300	240
41	0	60
41	0	240
41	300	60
41	300	240
42	0	60
42	0	240
42	300	60
42	300	240
43	0	60
43	0	240
43	300	60
43	300	240
44	0	60
44	0	240
44	300	60
44	300	240
45	0	60
45	0	240
45	300	60
45	300	240
46	0	60
46	0	240
46	300	60
46	300	240
47	0	60
47	0	240
47	300	60
47	300	240
48	0	60
48	0	240
48	300	60
48	300	240
49	0	60
49	0	240
49	300	60
49	300	240
50	0	60
50	0	240
50	300	60
50	300	240
