1	0	240	25
1	0	240	50
1	0	240	75
1	0	240	100
1	300	240	25
1	300	240	50
1	300	240	75
1	300	240	100
1	0	60	25
1	0	60	50
1	0	60	75
1	0	60	100
1	300	60	25
1	300	60	50
1	300	60	75
1	300	60	100
2	0	240	25
2	0	240	50
2	0	240	75
2	0	240	100
2	300	240	25
2	300	240	50
2	300	240	75
2	300	240	100
2	0	60	25
2	0	60	50
2	0	60	75
2	0	60	100
2	300	60	25
2	300	60	50
2	300	60	75
2	300	60	100
3	0	240	25
3	0	240	50
3	0	240	75
3	0	240	100
3	300	240	25
3	300	240	50
3	300	240	75
3	300	240	100
3	0	60	25
3	0	60	50
3	0	60	75
3	0	60	100
3	300	60	25
3	300	60	50
3	300	60	75
3	300	60	100
4	0	240	25
4	0	240	50
4	0	240	75
4	0	240	100
4	300	240	25
4	300	240	50
4	300	240	75
4	300	240	100
4	0	60	25
4	0	60	50
4	0	60	75
4	0	60	100
4	300	60	25
4	300	60	50
4	300	60	75
4	300	60	100
5	0	240	25
5	0	240	50
5	0	240	75
5	0	240	100
5	300	240	25
5	300	240	50
5	300	240	75
5	300	240	100
5	0	60	25
5	0	60	50
5	0	60	75
5	0	60	100
5	300	60	25
5	300	60	50
5	300	60	75
5	300	60	100
6	0	240	25
6	0	240	50
6	0	240	75
6	0	240	100
6	300	240	25
6	300	240	50
6	300	240	75
6	300	240	100
6	0	60	25
6	0	60	50
6	0	60	75
6	0	60	100
6	300	60	25
6	300	60	50
6	300	60	75
6	300	60	100
7	0	240	25
7	0	240	50
7	0	240	75
7	0	240	100
7	300	240	25
7	300	240	50
7	300	240	75
7	300	240	100
7	0	60	25
7	0	60	50
7	0	60	75
7	0	60	100
7	300	60	25
7	300	60	50
7	300	60	75
7	300	60	100
8	0	240	25
8	0	240	50
8	0	240	75
8	0	240	100
8	300	240	25
8	300	240	50
8	300	240	75
8	300	240	100
8	0	60	25
8	0	60	50
8	0	60	75
8	0	60	100
8	300	60	25
8	300	60	50
8	300	60	75
8	300	60	100
9	0	240	25
9	0	240	50
9	0	240	75
9	0	240	100
9	300	240	25
9	300	240	50
9	300	240	75
9	300	240	100
9	0	60	25
9	0	60	50
9	0	60	75
9	0	60	100
9	300	60	25
9	300	60	50
9	300	60	75
9	300	60	100
10	0	240	25
10	0	240	50
10	0	240	75
10	0	240	100
10	300	240	25
10	300	240	50
10	300	240	75
10	300	240	100
10	0	60	25
10	0	60	50
10	0	60	75
10	0	60	100
10	300	60	25
10	300	60	50
10	300	60	75
10	300	60	100
11	0	240	25
11	0	240	50
11	0	240	75
11	0	240	100
11	300	240	25
11	300	240	50
11	300	240	75
11	300	240	100
11	0	60	25
11	0	60	50
11	0	60	75
11	0	60	100
11	300	60	25
11	300	60	50
11	300	60	75
11	300	60	100
12	0	240	25
12	0	240	50
12	0	240	75
12	0	240	100
12	300	240	25
12	300	240	50
12	300	240	75
12	300	240	100
12	0	60	25
12	0	60	50
12	0	60	75
12	0	60	100
12	300	60	25
12	300	60	50
12	300	60	75
12	300	60	100
13	0	240	25
13	0	240	50
13	0	240	75
13	0	240	100
13	300	240	25
13	300	240	50
13	300	240	75
13	300	240	100
13	0	60	25
13	0	60	50
13	0	60	75
13	0	60	100
13	300	60	25
13	300	60	50
13	300	60	75
13	300	60	100
14	0	240	25
14	0	240	50
14	0	240	75
14	0	240	100
14	300	240	25
14	300	240	50
14	300	240	75
14	300	240	100
14	0	60	25
14	0	60	50
14	0	60	75
14	0	60	100
14	300	60	25
14	300	60	50
14	300	60	75
14	300	60	100
15	0	240	25
15	0	240	50
15	0	240	75
15	0	240	100
15	300	240	25
15	300	240	50
15	300	240	75
15	300	240	100
15	0	60	25
15	0	60	50
15	0	60	75
15	0	60	100
15	300	60	25
15	300	60	50
15	300	60	75
15	300	60	100
16	0	240	25
16	0	240	50
16	0	240	75
16	0	240	100
16	300	240	25
16	300	240	50
