1	0
1	240
2	0
2	240
3	0
3	240
4	0
4	240
5	0
5	240
6	0
6	240
7	0
7	240
8	0
8	240
9	0
9	240
10	0
10	240
11	0
11	240
12	0
12	240
13	0
13	240
14	0
14	240
15	0
15	240
16	0
16	240
17	0
17	240
18	0
18	240
19	0
19	240
20	0
20	240
21	0
21	240
22	0
22	240
23	0
23	240
24	0
24	240
25	0
25	240
26	0
26	240
27	0
27	240
28	0
28	240
29	0
29	240
30	0
30	240
31	0
31	240
32	0
32	240
33	0
33	240
34	0
34	240
35	0
35	240
36	0
36	240
37	0
37	240
38	0
38	240
39	0
39	240
40	0
40	240
41	0
41	240
42	0
42	240
43	0
43	240
44	0
44	240
45	0
45	240
46	0
46	240
47	0
47	240
48	0
48	240
49	0
49	240
50	0
50	240
